year	month	day	hour	minute	second	valid_flag
2017	1	26	11	3	55.587	1
2017	1	26	11	3	55.59	1
2017	1	26	11	3	55.603	1
2017	1	26	11	3	55.605	1
2017	1	26	11	3	55.613	1
2017	1	26	11	3	55.622	1
2017	1	26	11	3	55.636	1
2017	1	26	11	3	55.639	1
2017	1	26	11	3	55.653	1
2017	1	26	11	3	55.655	1
2017	1	26	11	3	55.669	1
2017	1	26	11	3	55.672	1
2017	1	26	11	3	55.686	1
2017	1	26	11	3	55.688	1
2017	1	26	11	3	55.703	1
2017	1	26	11	3	55.719	1
2017	1	26	11	3	55.72	1
2017	1	26	11	3	55.722	1
2017	1	26	11	3	55.73	1
2017	1	26	11	3	55.739	1
2017	1	26	11	3	55.753	1
2017	1	26	11	3	55.756	1
2017	1	26	11	3	55.764	1
2017	1	26	11	3	55.772	1
2017	1	26	11	3	55.781	1
2017	1	26	11	3	55.789	1
2017	1	26	11	3	55.797	1
2017	1	26	11	3	55.805	1
2017	1	26	11	3	55.814	1
2017	1	26	11	3	55.822	1
2017	1	26	11	3	55.83	1
2017	1	26	11	3	55.839	1
2017	1	26	11	3	55.847	1
2017	1	26	11	3	55.855	1
2017	1	26	11	3	55.869	1
2017	1	26	11	3	55.872	1
2017	1	26	11	3	55.886	1
2017	1	26	11	3	55.888	1
2017	1	26	11	3	55.903	1
2017	1	26	11	3	55.905	1
2017	1	26	11	3	55.92	1
2017	1	26	11	3	55.922	1
2017	1	26	11	3	55.937	1
2017	1	26	11	3	55.939	1
2017	1	26	11	3	55.953	1
2017	1	26	11	3	55.97	1
2017	1	26	11	3	55.97	1
2017	1	26	11	3	55.972	1
2017	1	26	11	3	55.98	1
2017	1	26	11	3	55.989	1
2017	1	26	11	3	55.997	1
2017	1	26	11	3	56.005	1
2017	1	26	11	3	56.014	1
2017	1	26	11	3	56.023	1
2017	1	26	11	3	56.03	1
2017	1	26	11	3	56.04	1
2017	1	26	11	3	56.047	1
2017	1	26	11	3	56.056	1
2017	1	26	11	3	56.064	1
2017	1	26	11	3	56.072	1
2017	1	26	11	3	56.081	1
2017	1	26	11	3	56.089	1
2017	1	26	11	3	56.103	1
2017	1	26	11	3	56.105	1
2017	1	26	11	3	56.119	1
2017	1	26	11	3	56.122	1
2017	1	26	11	3	56.136	1
2017	1	26	11	3	56.139	1
2017	1	26	11	3	56.153	1
2017	1	26	11	3	56.155	1
2017	1	26	11	3	56.169	1
2017	1	26	11	3	56.186	1
2017	1	26	11	3	56.186	1
2017	1	26	11	3	56.188	1
2017	1	26	11	3	56.197	1
2017	1	26	11	3	56.206	1
2017	1	26	11	3	56.214	1
2017	1	26	11	3	56.222	1
2017	1	26	11	3	56.23	1
2017	1	26	11	3	56.238	1
2017	1	26	11	3	56.247	1
2017	1	26	11	3	56.257	1
2017	1	26	11	3	56.264	1
2017	1	26	11	3	56.272	1
2017	1	26	11	3	56.28	1
2017	1	26	11	3	56.289	1
2017	1	26	11	3	56.297	1
2017	1	26	11	3	56.305	1
2017	1	26	11	3	56.314	1
2017	1	26	11	3	56.323	1
2017	1	26	11	3	56.336	1
2017	1	26	11	3	56.338	1
2017	1	26	11	3	56.353	1
2017	1	26	11	3	56.356	1
2017	1	26	11	3	56.37	1
2017	1	26	11	3	56.372	1
2017	1	26	11	3	56.386	1
2017	1	26	11	3	56.389	1
2017	1	26	11	3	56.403	1
2017	1	26	11	3	56.407	1
2017	1	26	11	3	56.42	1
2017	1	26	11	3	56.423	1
2017	1	26	11	3	56.43	1
2017	1	26	11	3	56.439	1
2017	1	26	11	3	56.453	1
2017	1	26	11	3	56.455	1
2017	1	26	11	3	56.47	1
2017	1	26	11	3	56.473	1
2017	1	26	11	3	56.486	1
2017	1	26	11	3	56.489	1
2017	1	26	11	3	56.503	1
2017	1	26	11	3	56.52	1
2017	1	26	11	3	56.52	1
2017	1	26	11	3	56.522	1
2017	1	26	11	3	56.53	1
2017	1	26	11	3	56.539	1
2017	1	26	11	3	56.547	1
2017	1	26	11	3	56.555	1
2017	1	26	11	3	56.563	1
2017	1	26	11	3	56.572	1
2017	1	26	11	3	56.586	1
2017	1	26	11	3	56.589	1
2017	1	26	11	3	56.603	1
2017	1	26	11	3	56.605	1
2017	1	26	11	3	56.62	1
2017	1	26	11	3	56.636	1
2017	1	26	11	3	56.637	1
2017	1	26	11	3	56.653	1
2017	1	26	11	3	56.653	1
2017	1	26	11	3	56.655	1
2017	1	26	11	3	56.664	1
2017	1	26	11	3	56.672	1
2017	1	26	11	3	56.68	1
2017	1	26	11	3	56.689	1
2017	1	26	11	3	56.697	1
2017	1	26	11	3	56.706	1
2017	1	26	11	3	56.719	1
2017	1	26	11	3	56.722	1
2017	1	26	11	3	56.736	1
2017	1	26	11	3	56.739	1
2017	1	26	11	3	56.753	1
2017	1	26	11	3	56.755	1
2017	1	26	11	3	56.77	1
2017	1	26	11	3	56.772	1
2017	1	26	11	3	56.786	1
2017	1	26	11	3	56.803	1
2017	1	26	11	3	56.803	1
2017	1	26	11	3	56.82	1
2017	1	26	11	3	56.82	1
2017	1	26	11	3	56.822	1
2017	1	26	11	3	56.83	1
2017	1	26	11	3	56.838	1
2017	1	26	11	3	56.853	1
2017	1	26	11	3	56.856	1
2017	1	26	11	3	56.87	1
2017	1	26	11	3	56.873	1
2017	1	26	11	3	56.886	1
2017	1	26	11	3	56.889	1
2017	1	26	11	3	56.903	1
2017	1	26	11	3	56.905	1
2017	1	26	11	3	56.92	1
2017	1	26	11	3	56.923	1
2017	1	26	11	3	56.936	1
2017	1	26	11	3	56.939	1
2017	1	26	11	3	56.947	1
2017	1	26	11	3	56.956	1
2017	1	26	11	3	56.964	1
2017	1	26	11	3	56.972	1
2017	1	26	11	3	56.982	1
2017	1	26	11	3	56.988	1
2017	1	26	11	3	56.997	1
2017	1	26	11	3	57.005	1
2017	1	26	11	3	57.014	1
2017	1	26	11	3	57.022	1
2017	1	26	11	3	57.03	1
2017	1	26	11	3	57.04	1
2017	1	26	11	3	57.047	1
2017	1	26	11	3	57.055	1
2017	1	26	11	3	57.064	1
2017	1	26	11	3	57.072	1
2017	1	26	11	3	57.08	1
2017	1	26	11	3	57.089	1
2017	1	26	11	3	57.103	1
2017	1	26	11	3	57.106	1
2017	1	26	11	3	57.12	1
2017	1	26	11	3	57.122	1
2017	1	26	11	3	57.137	1
2017	1	26	11	3	57.139	1
2017	1	26	11	3	57.153	1
2017	1	26	11	3	57.155	1
2017	1	26	11	3	57.17	1
2017	1	26	11	3	57.172	1
2017	1	26	11	3	57.186	1
2017	1	26	11	3	57.188	1
2017	1	26	11	3	57.197	1
2017	1	26	11	3	57.205	1
2017	1	26	11	3	57.213	1
2017	1	26	11	3	57.222	1
2017	1	26	11	3	57.23	1
2017	1	26	11	3	57.238	1
2017	1	26	11	3	57.247	1
2017	1	26	11	3	57.256	1
2017	1	26	11	3	57.264	1
2017	1	26	11	3	57.272	1
2017	1	26	11	3	57.28	1
2017	1	26	11	3	57.288	1
2017	1	26	11	3	57.297	1
2017	1	26	11	3	57.306	1
2017	1	26	11	3	57.313	1
2017	1	26	11	3	57.322	1
2017	1	26	11	3	57.336	1
2017	1	26	11	3	57.338	1
2017	1	26	11	3	57.353	1
2017	1	26	11	3	57.355	1
2017	1	26	11	3	57.369	1
2017	1	26	11	3	57.372	1
2017	1	26	11	3	57.386	1
2017	1	26	11	3	57.403	1
2017	1	26	11	3	57.403	1
2017	1	26	11	3	57.406	1
2017	1	26	11	3	57.42	1
2017	1	26	11	3	57.423	1
2017	1	26	11	3	57.431	1
2017	1	26	11	3	57.439	1
2017	1	26	11	3	57.447	1
2017	1	26	11	3	57.455	1
2017	1	26	11	3	57.464	1
2017	1	26	11	3	57.472	1
2017	1	26	11	3	57.48	1
2017	1	26	11	3	57.49	1
2017	1	26	11	3	57.497	1
2017	1	26	11	3	57.506	1
2017	1	26	11	3	57.514	1
2017	1	26	11	3	57.522	1
2017	1	26	11	3	57.53	1
2017	1	26	11	3	57.538	1
2017	1	26	11	3	57.547	1
2017	1	26	11	3	57.555	1
2017	1	26	11	3	57.569	1
2017	1	26	11	3	57.572	1
2017	1	26	11	3	57.586	1
2017	1	26	11	3	57.589	1
2017	1	26	11	3	57.604	1
2017	1	26	11	3	57.607	1
2017	1	26	11	3	57.62	1
2017	1	26	11	3	57.622	1
2017	1	26	11	3	57.63	1
2017	1	26	11	3	57.639	1
2017	1	26	11	3	57.647	1
2017	1	26	11	3	57.655	1
2017	1	26	11	3	57.664	1
2017	1	26	11	3	57.672	1
2017	1	26	11	3	57.687	1
2017	1	26	11	3	57.689	1
2017	1	26	11	3	57.703	1
2017	1	26	11	3	57.705	1
2017	1	26	11	3	57.72	1
2017	1	26	11	3	57.723	1
2017	1	26	11	3	57.736	1
2017	1	26	11	3	57.753	1
2017	1	26	11	3	57.753	1
2017	1	26	11	3	57.755	1
2017	1	26	11	3	57.763	1
2017	1	26	11	3	57.772	1
2017	1	26	11	3	57.78	1
2017	1	26	11	3	57.789	1
2017	1	26	11	3	57.797	1
2017	1	26	11	3	57.807	1
2017	1	26	11	3	57.819	1
2017	1	26	11	3	57.822	1
2017	1	26	11	3	57.837	1
2017	1	26	11	3	57.839	1
2017	1	26	11	3	57.853	1
2017	1	26	11	3	57.855	1
2017	1	26	11	3	57.87	1
2017	1	26	11	3	57.886	1
2017	1	26	11	3	57.886	1
2017	1	26	11	3	57.888	1
2017	1	26	11	3	57.897	1
2017	1	26	11	3	57.905	1
2017	1	26	11	3	57.914	1
2017	1	26	11	3	57.922	1
2017	1	26	11	3	57.93	1
2017	1	26	11	3	57.939	1
2017	1	26	11	3	57.953	1
2017	1	26	11	3	57.955	1
