year	month	day	hour	minute	second	x	y	z	ref_vec_x	ref_vec_y	ref_vec_z	rotation_11	rotation_12	rotation_13	rotation_21	rotation_22	rotation_23	rotation_31	rotation_32	rotation_33
2017	1	26	12	53	32.106	-1.29815504561	-0.0466415380701	1.47340035222	0.685790782841064	-0.727758280995893	0.00767376127744168	-0.727564786822429	0.685790782841064	-0.0184521854064528	-0.685799547910135	-0.727758280995893	-0.00684576717079801	-0.0181234947592268	0.00767376127744168	0.999806307404374
2017	1	26	12	53	32.114	-1.2981073541	-0.0466857945826	1.47336045995	0.685774752074271	-0.727776044390556	0.00741745432805248	-0.727587204391995	0.685774752074271	-0.0181617571428129	-0.685779915965705	-0.727776044390556	-0.0069235878925948	-0.0179657135430869	0.00741745432805248	0.999811089410484
2017	1	26	12	53	32.122	-1.29806062375	-0.0467297413256	1.47332207325	0.685754567832135	-0.727797538912307	0.0071704288958238	-0.727613194022971	0.685754567832135	-0.0178805084114638	-0.685756357439603	-0.727797538912307	-0.00699718403048787	-0.0178117409272333	0.0071704288958238	0.999815646424175
2017	1	26	12	53	32.131	-1.29801492414	-0.0467733160861	1.47328537435	0.685730072649422	-0.72782291161948	0.00693374256526634	-0.727642876887038	0.685730072649422	-0.0176099738720058	-0.685728716944489	-0.72782291161948	-0.00706654649793054	-0.0176626859004727	0.00693374256526634	0.999819960163238
2017	1	26	12	53	32.139	-1.29797030383	-0.0468164652281	1.47325053459	0.685701157636662	-0.727852265190466	0.00670838824521606	-0.727676331398674	0.685701157636662	-0.0173516321396003	-0.685696885556332	-0.727852265190466	-0.00713170354497044	-0.0175196421342675	0.00670838824521606	0.999824014347844
2017	1	26	12	53	32.147	-1.2979267907	-0.0468591418358	1.47321771101	0.685667767761885	-0.727885652896267	0.00649527214279568	-0.727713588573838	0.685667767761885	-0.0171068774888899	-0.685660806101566	-0.727885652896267	-0.0071927243744002	-0.0173836699559385	0.00649527214279568	0.999827794902029
2017	1	26	12	53	32.156	-1.29788439296	-0.0469013037871	1.47318704309	0.685629904154164	-0.727923076356585	0.00629519158707311	-0.727754630125929	0.685629904154164	-0.016876992025358	-0.685620475496035	-0.727923076356585	-0.00724972331592408	-0.0172557790569854	0.00629519158707311	0.999831290094493
2017	1	26	12	53	32.165	-1.29784310079	-0.0469429118119	1.47315864948	0.685587623652344	-0.727964485876411	0.00610881309465485	-0.72779938909875	0.685587623652344	-0.0166631186222567	-0.685575944352935	-0.727964485876411	-0.00730286431985806	-0.0171369119758557	0.00610881309465485	0.999834490628577
2017	1	26	12	53	32.172	-1.29780288838	-0.0469839276795	1.47313262498	0.685541036364269	-0.728009782643545	0.00593665191005216	-0.727847752320209	0.685541036364269	-0.0164662352413374	-0.685527314633559	-0.728009782643545	-0.00735236469441212	-0.0170279280513389	0.00593665191005216	0.999837389694133
2017	1	26	12	53	32.182	-1.29776371633	-0.0470243127443	1.47310903797	0.685490302104985	-0.728058821965441	0.00577905513980506	-0.727899563850898	0.685490302104985	-0.0162871319049031	-0.68547473622974	-0.728058821965441	-0.00739849640540591	-0.0169295876039439	0.00577905513980506	0.999839982989904
