year	month	day	hour	minute	second	valid_flag
2017	1	26	11	25	18.631	1
2017	1	26	11	25	18.64	1
2017	1	26	11	25	18.649	1
2017	1	26	11	25	18.657	1
2017	1	26	11	25	18.666	1
2017	1	26	11	25	18.673	1
2017	1	26	11	25	18.682	1
2017	1	26	11	25	18.69	1
2017	1	26	11	25	18.698	1
2017	1	26	11	25	18.706	1
2017	1	26	11	25	18.715	1
2017	1	26	11	25	18.723	1
2017	1	26	11	25	18.731	1
2017	1	26	11	25	18.74	1
2017	1	26	11	25	18.748	1
2017	1	26	11	25	18.757	1
2017	1	26	11	25	18.773	1
2017	1	26	11	25	18.773	1
2017	1	26	11	25	18.79	1
2017	1	26	11	25	18.79	1
2017	1	26	11	25	18.798	1
2017	1	26	11	25	18.806	1
2017	1	26	11	25	18.815	1
2017	1	26	11	25	18.823	1
2017	1	26	11	25	18.832	1
2017	1	26	11	25	18.84	1
2017	1	26	11	25	18.848	1
2017	1	26	11	25	18.857	1
2017	1	26	11	25	18.874	1
2017	1	26	11	25	18.874	1
2017	1	26	11	25	18.891	1
2017	1	26	11	25	18.891	1
2017	1	26	11	25	18.907	1
2017	1	26	11	25	18.907	1
2017	1	26	11	25	18.923	1
2017	1	26	11	25	18.924	1
2017	1	26	11	25	18.932	1
2017	1	26	11	25	18.94	1
2017	1	26	11	25	18.948	1
2017	1	26	11	25	18.957	1
2017	1	26	11	25	18.965	1
2017	1	26	11	25	18.974	1
2017	1	26	11	25	18.99	1
2017	1	26	11	25	18.99	1
2017	1	26	11	25	19.007	1
2017	1	26	11	25	19.007	1
2017	1	26	11	25	19.015	1
2017	1	26	11	25	19.023	1
2017	1	26	11	25	19.031	1
2017	1	26	11	25	19.04	1
2017	1	26	11	25	19.048	1
2017	1	26	11	25	19.057	1
2017	1	26	11	25	19.065	1
2017	1	26	11	25	19.074	1
2017	1	26	11	25	19.082	1
2017	1	26	11	25	19.09	1
2017	1	26	11	25	19.098	1
2017	1	26	11	25	19.107	1
2017	1	26	11	25	19.124	1
2017	1	26	11	25	19.124	1
2017	1	26	11	25	19.14	1
2017	1	26	11	25	19.14	1
2017	1	26	11	25	19.157	1
2017	1	26	11	25	19.157	1
2017	1	26	11	25	19.165	1
2017	1	26	11	25	19.173	1
2017	1	26	11	25	19.181	1
2017	1	26	11	25	19.19	1
2017	1	26	11	25	19.198	1
2017	1	26	11	25	19.206	1
2017	1	26	11	25	19.215	1
2017	1	26	11	25	19.223	1
2017	1	26	11	25	19.24	1
2017	1	26	11	25	19.24	1
2017	1	26	11	25	19.248	1
